Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #,Currency
2023-03-10T12:49:44-0800,Trade,Buy to Open,BUY_TO_OPEN,XOP   230421C00155000,Equity Option,Bought 1 XOP 04/21/23 Call 155.00 @ 0.41,-41.00,1,-41.00,-1.00,-0.13,100,XOP,XOP,4/21/23,155.0,CALL,258988316,USD
2023-03-10T12:49:44-0800,Trade,Sell to Open,SELL_TO_OPEN,XOP   230421C00145000,Equity Option,Sold 1 XOP 04/21/23 Call 145.00 @ 1.31,131.00,1,131.00,-1.00,-0.142,100,XOP,XOP,4/21/23,145.0,CALL,258988316,USD
2023-03-10T12:49:44-0800,Trade,Sell to Open,SELL_TO_OPEN,XOP   230421P00120000,Equity Option,Sold 1 XOP 04/21/23 Put 120.00 @ 4.06,406.00,1,406.00,-1.00,-0.142,100,XOP,XOP,4/21/23,120.0,PUT,258988316,USD
2023-03-10T12:49:44-0800,Trade,Buy to Open,BUY_TO_OPEN,XOP   230421P00110000,Equity Option,Bought 1 XOP 04/21/23 Put 110.00 @ 1.78,-178.00,1,-178.00,-1.00,-0.13,100,XOP,XOP,4/21/23,110.0,PUT,258988316,USD
2023-03-10T12:49:00-0800,Trade,Sell to Open,SELL_TO_OPEN,SPX   230421P03600000,Equity Option,Sold 2 SPX 04/21/23 Put 3600.00 @ 40.13,"8,026.00",2,"4,013.00",-2.00,-1.565,100,SPX,SPX,4/21/23,3600.0,PUT,258987822,USD
2023-03-10T12:49:00-0800,Trade,Buy to Open,BUY_TO_OPEN,SPX   230421P03650000,Equity Option,Bought 1 SPX 04/21/23 Put 3650.00 @ 49.41,"-4,941.00",1,"-4,941.00",-1.00,-0.78,100,SPX,SPX,4/21/23,3650.0,PUT,258987822,USD
2023-03-10T12:49:00-0800,Trade,Buy to Open,BUY_TO_OPEN,SPX   230421P03500000,Equity Option,Bought 1 SPX 04/21/23 Put 3500.00 @ 26.70,"-2,670.00",1,"-2,670.00",-1.00,-0.78,100,SPX,SPX,4/21/23,3500.0,PUT,258987822,USD
2023-03-10T11:03:58-0800,Trade,Sell to Open,SELL_TO_OPEN,SQ    230421P00065000,Equity Option,Sold 1 SQ 04/21/23 Put 65.00 @ 3.74,374.00,1,374.00,-1.00,-0.142,100,SQ,SQ,4/21/23,65.0,PUT,258929367,USD
2023-03-10T11:03:58-0800,Trade,Sell to Open,SELL_TO_OPEN,SQ    230421C00080000,Equity Option,Sold 1 SQ 04/21/23 Call 80.00 @ 2.65,265.00,1,265.00,-1.00,-0.142,100,SQ,SQ,4/21/23,80.0,CALL,258929367,USD
2023-03-10T08:57:14-0800,Trade,Buy to Open,BUY_TO_OPEN,NVDA  230421P00230000,Equity Option,Bought 1 NVDA 04/21/23 Put 230.00 @ 14.15,"-1,415.00",1,"-1,415.00",-1.00,-0.13,100,NVDA,NVDA,4/21/23,230.0,PUT,258861326,USD
2023-03-10T08:57:14-0800,Trade,Sell to Open,SELL_TO_OPEN,NVDA  230317P00220000,Equity Option,Sold 1 NVDA 03/17/23 Put 220.00 @ 2.40,240.00,1,240.00,-1.00,-0.142,100,NVDA,NVDA,3/17/23,220.0,PUT,258861326,USD
2023-03-09T12:52:37-0800,Trade,Sell to Close,SELL_TO_CLOSE,SPY   230421P00400000,Equity Option,Sold 1 SPY 04/21/23 Put 400.00 @ 14.44,"1,444.00",1,"1,444.00",0.00,-0.152,100,SPY,SPY,4/21/23,400.0,PUT,258692342,USD
2023-03-09T12:52:37-0800,Trade,Buy to Close,BUY_TO_CLOSE,SPY   230317P00390000,Equity Option,Bought 1 SPY 03/17/23 Put 390.00 @ 5.15,-515.00,1,-515.00,0.00,-0.13,100,SPY,SPY,3/17/23,390.0,PUT,258692342,USD
2023-03-09T12:43:27-0800,Trade,Sell to Close,SELL_TO_CLOSE,TSLA  230421C00215000,Equity Option,Sold 1 TSLA 04/21/23 Call 215.00 @ 3.52,352.00,1,352.00,0.00,-0.142,100,TSLA,TSLA,4/21/23,215.0,CALL,258685605,USD
2023-03-09T12:43:27-0800,Trade,Buy to Close,BUY_TO_CLOSE,TSLA  230421C00205000,Equity Option,Bought 1 TSLA 04/21/23 Call 205.00 @ 5.21,-521.00,1,-521.00,0.00,-0.13,100,TSLA,TSLA,4/21/23,205.0,CALL,258685605,USD
2023-03-09T08:33:52-0800,Trade,Sell to Open,SELL_TO_OPEN,SPY   230317P00390000,Equity Option,Sold 1 SPY 03/17/23 Put 390.00 @ 2.05,205.00,1,205.00,-1.00,-0.142,100,SPY,SPY,3/17/23,390.0,PUT,258568920,USD
2023-03-09T08:33:52-0800,Trade,Buy to Open,BUY_TO_OPEN,SPY   230421P00400000,Equity Option,Bought 1 SPY 04/21/23 Put 400.00 @ 9.73,-973.00,1,-973.00,-1.00,-0.13,100,SPY,SPY,4/21/23,400.0,PUT,258568920,USD
2023-03-07T11:23:34-0800,Trade,Sell to Close,SELL_TO_CLOSE,SPY   230316P00411000,Equity Option,Sold 1 SPY 03/16/23 Put 411.00 @ 13.13,"1,313.00",1,"1,313.00",0.00,-0.152,100,SPY,SPY,3/16/23,411.0,PUT,258246860,USD
2023-03-07T11:23:34-0800,Trade,Sell to Close,SELL_TO_CLOSE,SPY   230316P00411000,Equity Option,Sold 1 SPY 03/16/23 Put 411.00 @ 13.12,"1,312.00",1,"1,312.00",0.00,-0.152,100,SPY,SPY,3/16/23,411.0,PUT,258246860,USD
2023-03-07T11:23:34-0800,Trade,Buy to Close,BUY_TO_CLOSE,SPY   230316P00404000,Equity Option,Bought 1 SPY 03/16/23 Put 404.00 @ 7.90,-790.00,1,-790.00,0.00,-0.13,100,SPY,SPY,3/16/23,404.0,PUT,258246860,USD
2023-03-06T11:00:31-0800,Trade,Buy to Open,BUY_TO_OPEN,SPY   230316P00411000,Equity Option,Bought 2 SPY 03/16/23 Put 411.00 @ 8.24,"-1,648.00",2,-824.00,-2.00,-0.26,100,SPY,SPY,3/16/23,411.0,PUT,258045348,USD
2023-03-06T11:00:31-0800,Trade,Sell to Open,SELL_TO_OPEN,SPY   230316P00404000,Equity Option,Sold 1 SPY 03/16/23 Put 404.00 @ 4.48,448.00,1,448.00,-1.00,-0.142,100,SPY,SPY,3/16/23,404.0,PUT,258045348,USD
2023-03-04T06:51:27-0800,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.12,0,,--,0.00,,,,,,,,USD
2023-03-03T10:10:01-0800,Trade,Sell to Close,SELL_TO_CLOSE,AMZN  230421P00065000,Equity Option,Sold 1 AMZN 04/21/23 Put 65.00 @ 0.10,10.00,1,10.00,0.00,-0.142,100,AMZN,AMZN,4/21/23,65.0,PUT,257798833,USD
2023-03-03T10:10:01-0800,Trade,Sell to Close,SELL_TO_CLOSE,AMZN  230421C00130000,Equity Option,Sold 1 AMZN 04/21/23 Call 130.00 @ 0.08,8.00,1,8.00,0.00,-0.142,100,AMZN,AMZN,4/21/23,130.0,CALL,257798833,USD
2023-03-03T10:10:01-0800,Trade,Buy to Close,BUY_TO_CLOSE,AMZN  230421P00085000,Equity Option,Bought 1 AMZN 04/21/23 Put 85.00 @ 1.53,-153.00,1,-153.00,0.00,-0.13,100,AMZN,AMZN,4/21/23,85.0,PUT,257798833,USD
2023-03-03T10:10:01-0800,Trade,Buy to Close,BUY_TO_CLOSE,AMZN  230421C00110000,Equity Option,Bought 1 AMZN 04/21/23 Call 110.00 @ 0.68,-68.00,1,-68.00,0.00,-0.13,100,AMZN,AMZN,4/21/23,110.0,CALL,257798833,USD
2023-03-03T10:08:46-0800,Trade,Sell to Close,SELL_TO_CLOSE,AAPL  230421P00115000,Equity Option,Sold 1 AAPL 04/21/23 Put 115.00 @ 0.17,17.00,1,17.00,0.00,-0.142,100,AAPL,AAPL,4/21/23,115.0,PUT,257798160,USD
2023-03-03T10:08:46-0800,Trade,Buy to Close,BUY_TO_CLOSE,AAPL  230421P00135000,Equity Option,Bought 1 AAPL 04/21/23 Put 135.00 @ 1.20,-120.00,1,-120.00,0.00,-0.13,100,AAPL,AAPL,4/21/23,135.0,PUT,257798160,USD
2023-03-02T10:11:44-0800,Trade,Sell to Open,SELL_TO_OPEN,TSLA  230421C00205000,Equity Option,Sold 1 TSLA 04/21/23 Call 205.00 @ 12.59,"1,259.00",1,"1,259.00",-1.00,-0.152,100,TSLA,TSLA,4/21/23,205.0,CALL,257560019,USD
2023-03-02T10:11:44-0800,Trade,Buy to Open,BUY_TO_OPEN,TSLA  230421C00215000,Equity Option,Bought 1 TSLA 04/21/23 Call 215.00 @ 9.46,-946.00,1,-946.00,-1.00,-0.13,100,TSLA,TSLA,4/21/23,215.0,CALL,257560019,USD
2023-03-02T10:10:29-0800,Trade,Buy to Open,BUY_TO_OPEN,ADBE  230421P00275000,Equity Option,Bought 1 ADBE 04/21/23 Put 275.00 @ 3.00,-300.00,1,-300.00,-1.00,-0.13,100,ADBE,ADBE,4/21/23,275.0,PUT,257559673,USD
2023-03-02T10:10:29-0800,Trade,Buy to Open,BUY_TO_OPEN,ADBE  230421C00385000,Equity Option,Bought 1 ADBE 04/21/23 Call 385.00 @ 2.88,-288.00,1,-288.00,-1.00,-0.13,100,ADBE,ADBE,4/21/23,385.0,CALL,257559673,USD
2023-03-02T10:10:29-0800,Trade,Sell to Open,SELL_TO_OPEN,ADBE  230421P00290000,Equity Option,Sold 1 ADBE 04/21/23 Put 290.00 @ 5.07,507.00,1,507.00,-1.00,-0.142,100,ADBE,ADBE,4/21/23,290.0,PUT,257559673,USD
